carrier,model,storage,color,official_msrp_krw,public_subsidy_krw,contract_period_options,plan_tier,source_url,fetched_at,data_status,disclaimer
SKT,Galaxy Z Fold6,256GB,N/A,N/A,N/A,"24mo,36mo,자급제",N/A,https://www.tworld.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
SKT,Galaxy Z Flip6,256GB,N/A,N/A,N/A,"24mo,36mo,자급제",N/A,https://www.tworld.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
SKT,Galaxy A55,128GB,N/A,N/A,N/A,"24mo,자급제",N/A,https://www.tworld.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
SKT,Galaxy A35,128GB,N/A,N/A,N/A,"24mo,자급제",N/A,https://www.tworld.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
SKT,Galaxy Tab S10+ 5G,256GB,N/A,N/A,N/A,"24mo,자급제",N/A,https://www.tworld.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
LGU+,Galaxy S25,256GB,N/A,N/A,N/A,"24mo,36mo,자급제",N/A,https://www.uplus.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
LGU+,Galaxy S25+,256GB,N/A,N/A,N/A,"24mo,36mo,자급제",N/A,https://www.uplus.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
LGU+,Galaxy S25 Ultra,256GB,N/A,N/A,N/A,"24mo,36mo,자급제",N/A,https://www.uplus.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
LGU+,Galaxy Z Fold6,256GB,N/A,N/A,N/A,"24mo,36mo,자급제",N/A,https://www.uplus.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
LGU+,Galaxy Z Flip6,256GB,N/A,N/A,N/A,"24mo,36mo,자급제",N/A,https://www.uplus.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
LGU+,Galaxy A55,128GB,N/A,N/A,N/A,"24mo,자급제",N/A,https://www.uplus.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
LGU+,Galaxy A35,128GB,N/A,N/A,N/A,"24mo,자급제",N/A,https://www.uplus.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
LGU+,Galaxy Tab S10+ 5G,256GB,N/A,N/A,N/A,"24mo,자급제",N/A,https://www.uplus.co.kr/,2026-05-29T05:39:10Z,NOT_FETCHED,"본 가격은 공개 정가/공시지원금 기준. 실제 구매가는 약정·결합·이벤트에 따라 변동. 정확한 견적은 통신사 직접 문의."
